Year,Model,Config,MPGe_combined,MPGe_city,MPGe_highway,price_low,price_high,range_in_miles
2021,2021 Audi e-tron,"Automatic (A1), Electricity",78,78,77,65900.0,79100.0,222
2021,2021 Audi e-tron Sportback,"Automatic (A1), Electricity",77,76,78,69100.0,82300.0,218
2021,2021 Porsche Taycan 4S Perf Battery Plus,"Automatic (A2), Electricity",77,75,81,103800.0,103800.0,227
2021,2021 Jaguar I-Pace EV400,"Automatic (A1), Electricity",76,80,72,,,234
2021,2021 Porsche Taycan 4 Cross Turismo,"Automatic (A2), Electricity",76,76,77,90900.0,90900.0,215
2021,2021 Porsche Taycan 4S Cross Turismo,"Automatic (A2), Electricity",75,75,75,110300.0,110300.0,215
2021,2021 Porsche Taycan Perf Battery Plus,"Automatic (A2), Electricity",75,71,80,82700.0,82700.0,225
2021,2021 Porsche Taycan Turbo S Cross Turismo,"Automatic (A2), Electricity",73,74,73,187600.0,187600.0,202
2021,2021 Porsche Taycan Turbo,"Automatic (A2), Electricity",73,71,75,150900.0,150900.0,212
2021,2021 Porsche Taycan Turbo Cross Turismo,"Automatic (A2), Electricity",72,72,72,153500.0,153500.0,204
2021,2021 Porsche Taycan Turbo S,"Automatic (A2), Electricity",70,69,71,185000.0,185000.0,201
2022,2022 Tesla Model 3 RWD,"Automatic (A1), Electricity",132,138,126,46990.0,46990.0,272
